,meter_id,year,month,total_energy,mean_energy,total_generation
118,c03d8e30-ce2d-4172-a6de-b589c64f458d,2020,7,112426.0,37.777553763440864,321.6333000000001
119,c03d8e30-ce2d-4172-a6de-b589c64f458d,2020,8,1260993.0,423.72076612903226,7226.7594
120,c03d8e30-ce2d-4172-a6de-b589c64f458d,2020,9,916073.0,318.0809027777778,32802.95059999999
121,c03d8e30-ce2d-4172-a6de-b589c64f458d,2020,10,915969.0,307.7852822580645,41623.9982
122,c03d8e30-ce2d-4172-a6de-b589c64f458d,2020,11,469225.0,162.92534722222223,0.0
123,c03d8e30-ce2d-4172-a6de-b589c64f458d,2020,12,577368.0,194.00806451612902,0.0
124,c03d8e30-ce2d-4172-a6de-b589c64f458d,2021,1,634317.0,213.14415322580646,0.0
125,c03d8e30-ce2d-4172-a6de-b589c64f458d,2021,2,691035.0,257.0814732142857,0.0
126,c03d8e30-ce2d-4172-a6de-b589c64f458d,2021,3,483968.0,162.84253028263797,0.0
127,c03d8e30-ce2d-4172-a6de-b589c64f458d,2021,4,442582.0,153.67430555555555,0.0
128,c2a78dc0-bfda-413b-ba4f-f638a67d7fcc,2020,1,421930.95999999996,141.777876344086,0.0
129,c2a78dc0-bfda-413b-ba4f-f638a67d7fcc,2020,2,355694.0,127.76364942528735,0.0
130,c2a78dc0-bfda-413b-ba4f-f638a67d7fcc,2020,3,369507.95999999996,124.32973082099595,0.0
131,c2a78dc0-bfda-413b-ba4f-f638a67d7fcc,2020,4,487449.0,169.253125,0.0
132,c2a78dc0-bfda-413b-ba4f-f638a67d7fcc,2020,5,851994.44,286.28845430107526,0.0
133,c2a78dc0-bfda-413b-ba4f-f638a67d7fcc,2020,6,1024049.9999999999,355.57291666666663,0.0
134,c2a78dc0-bfda-413b-ba4f-f638a67d7fcc,2020,7,1406326.0,472.5557795698925,0.0
135,c2a78dc0-bfda-413b-ba4f-f638a67d7fcc,2020,8,1405043.0,472.1246639784946,0.0
136,c2a78dc0-bfda-413b-ba4f-f638a67d7fcc,2020,9,1026807.9599999997,356.5305416666666,0.0
137,c2a78dc0-bfda-413b-ba4f-f638a67d7fcc,2020,10,722392.96,242.7395698924731,0.0
138,c2a78dc0-bfda-413b-ba4f-f638a67d7fcc,2020,11,480339.5,166.78454861111112,0.0
139,c2a78dc0-bfda-413b-ba4f-f638a67d7fcc,2020,12,529329.8799999999,177.86622311827952,0.0
140,c2a78dc0-bfda-413b-ba4f-f638a67d7fcc,2021,1,494969.0,166.32022849462365,0.0
141,c2a78dc0-bfda-413b-ba4f-f638a67d7fcc,2021,2,439867.99999999994,163.64136904761904,0.0
142,c2a78dc0-bfda-413b-ba4f-f638a67d7fcc,2021,3,304577.65759999957,102.48238815612368,0.0
143,c2a78dc0-bfda-413b-ba4f-f638a67d7fcc,2021,4,311116.31759999925,108.02649916666641,0.0
144,c56087b0-a82c-46c4-bdf8-20ae78a186c2,2020,1,933277.0,313.6011424731183,0.0
145,c56087b0-a82c-46c4-bdf8-20ae78a186c2,2020,2,873572.0,313.7830459770115,0.0
146,c56087b0-a82c-46c4-bdf8-20ae78a186c2,2020,3,955483.0,321.4949528936743,0.0
147,c56087b0-a82c-46c4-bdf8-20ae78a186c2,2020,4,928182.0,322.28541666666666,0.0
148,c56087b0-a82c-46c4-bdf8-20ae78a186c2,2020,5,1220771.5,410.20547715053766,0.0
149,c56087b0-a82c-46c4-bdf8-20ae78a186c2,2020,6,1706277.0,592.4572916666667,0.0
150,c56087b0-a82c-46c4-bdf8-20ae78a186c2,2020,7,1885666.0,633.6243279569892,71471.28279999996
151,c56087b0-a82c-46c4-bdf8-20ae78a186c2,2020,8,2123919.0,713.6824596774194,85560.64589999999
152,c56087b0-a82c-46c4-bdf8-20ae78a186c2,2020,9,1493693.0,518.6434027777777,51155.05459999999
153,c56087b0-a82c-46c4-bdf8-20ae78a186c2,2020,10,1141066.5,383.42288306451616,28734.528700000003
154,c56087b0-a82c-46c4-bdf8-20ae78a186c2,2020,11,963931.0,334.6982638888889,0.0
155,c56087b0-a82c-46c4-bdf8-20ae78a186c2,2020,12,944966.0,317.52889784946234,0.0
156,c56087b0-a82c-46c4-bdf8-20ae78a186c2,2021,1,873915.9999999999,293.6545698924731,0.0
157,c56087b0-a82c-46c4-bdf8-20ae78a186c2,2021,2,958324.0,356.51934523809524,0.0
158,c56087b0-a82c-46c4-bdf8-20ae78a186c2,2021,3,1043819.0,351.21769851951547,0.0
159,c56087b0-a82c-46c4-bdf8-20ae78a186c2,2021,4,872480.0,302.94444444444446,0.0
